"Customer Login","ログイン"
"Partial","一部"
"Mixed","混在"
"Amount: %1.","額: %1."
"Number","番号"
"Invoice # ","請求書番号"
"Complete","完了"
"Closed","取消済み"
"Notified","通知済"
"Subtotal:","小計:"
"Amount","金額"
"%1 / %2 rate:","%1 / %2 レート:"
"Refund #","払戻番号"
"Refund #%1","返金 #%1"
"Shipment #%1","発送情報 No.%1"
"Marketing","マーケティング"
"Warning","警告メッセージ"
"Invitee","紹介する宛先"
"Shipment #%1 | %3 (%2)","発送情報 No.%1 | %3 (%2)"
"Development","開発"
"Live","本番"
"Packages","梱包"
"Package","小包"
"Length","長さ"
"Contents","コンテンツ"
"Girth","寸法"
"in","インチ"
"lb","ポンド"
"kg","キロ"
"Explanation","形式"
"Carrier","配送業者"
"Shipment #","発送情報 No."
"Carrier:","配送業者:"
"Info:","情報:"
"Track:","トラッキング:"
"Location","場所"
"Sitemap","サイトマップ"
"Filename","ファイル名"
"Path","パス"
"Hourly","1時間ごと"
"Yearly","年ごと"
"Language","言語"
"Swatch","Swatch"
"Priority","優先度"
"Note:","メモ:"
"Themes","テーマ"
"Theme: %1","テーマ: %1"
"Manage","管理"
"Theme","テーマ"
"welcome","ウェルカム"
"Copy","コピー"
"Phrase","フェーズ"
"Welcome, %1!","ログイン中：%1様"
"translate","翻訳"
"Secret","シークレット"
"2FA","2FA"
"Reset %1","リセット %1"
"Remove %1","%1 を削除"
"New %1","新しい %1"
"PAK","PAK"
"Pallet","パレット"
"Residential","宅配"
"Commercial","商用"
"Category:","カテゴリ:"
"Product:","商品:"
"Temporary (302)","一時的(302)"
"Permanent (301)","永久(301)"
"message %1","メッセージ %1"
"Roles","権限ロール"
"Users","ユーザー"
"Assigned","アサイン済"
"Permissions","パーミッション"
"Recommended","推奨"
"Forced","強制"
"Letter","手紙"
"Flat","定額"
"Parcel","小包"
"Variable","変数"
"Rectangular","長方形"
"Non-rectangular","非長方形の"
"Merchandise","物品"
"Gift","ギフト"
"Return","返品"
"Web","ウェブ"
"FPT","FPT"
"Choose...","選択してください..."
"Widget ""%1""","Widget ""%1"""
"Settings","設定"
"Widget","Widget"
"Widgets","Widget要素"
"Container","コンテナ"
"Specific %1","特定の %1"
"%1 for ""%2"".","""%2"" のための %1"
"Comment:","コメント:"
"error-message","エラーメッセージ"
"Login","ログイン"
"Examples","例"
"Reason","理由"
"Customer:","カスタマー:"
"Total:","合計:"
"Update","更新"
"%name,","%name,"
"Email:","メールアドレス:"
"Password:","パスワード:"
"Footer","フッター"
"Header","ヘッダー"
"Tags","タグ"
"Block","Block"
"Margin","Margin"
"Padding","Padding"
"Upload","アップロード"
"Assign","割り当て"
"Columns","カラム"
"Filters","条件データ検索"
"Past","過去"
"Tooltip","ツールチップ"
"Hello,","こんにちは、"
"Thanks,","ありがとうございます、"
"All %1","すべて %1"
"more","もっと見る"
"License","ライセンス"
"License ""","ライセンス """
"Adding...","追加しています..."
"remaining","残存数"
" Example: "," 例: "
"Field ","フィールド "
"Weak","弱い"
"Strong","強い"
"Allow","許可"
"%1 disabled","%1 は無効"
"On","オン"
"Off","オフ"
"Keyword","キーワード"
"Attention","情報メッセージ"
"Payment ","支払い "
"Advanced","アドバンスド設定"
"Gender","性別"
"Host","ホスト"
"Debug","デバッグ"
"Font","フォント"
"Developer","開発者向け"
"Processed","送信済み"
"Subscriber","購読者"
"Service","サービス"
"Design","デザイン"
"Severity","重要度"
"Logout","ログアウト"
"Get","Get"
"Subcategory","サブカテゴリ"
"Orientation","オリエンテーション"
"Color","カラー"
"Overlay","オーバーレイ"
"Popularity","人気度"
"Undiscovered","未発見"
"Analytics","アナリティクス"
"Industry","業界"
"Elements","構成"
"Schedule","スケジュール"
"Communications","コミュニケーション"
"Services","サービス"
"Timezone","タイムゾーン"
"Locale","ロケール"
"Port (25)","ポート (25)"
"Security","セキュリティ"
"Pagination","ページング"
"Rollback","ロールバック"
"Frequency","処理間隔"
"CAPTCHA","CAPTCHA"
"Forms","対象フォーム"
"CardinalCommerce","CardinalCommerce"
"Environment","環境"
"Main","メイン"
"Storefront","ストアフロント"
"Comma-separated.","カンマ区切り"
"Quality","品質"
"Set","セット"
"Anchor","アンカーカテゴリ"
"AttributeSetText","属性セットテキスト"
"StatusText","ステータステキスト"
"Base","Base"
"Values","値"
"Overview","オーバービュー"
"TinyMCE 4","TinyMCE 4"
"Field 2","フィールド 2"
"Field 3","フィールド 3"
"Field 3.1","フィールド 3.1"
"Field 3.1.1","フィールド 3.1.1"
"Field 4","フィールド 4"
"PDF","PDF"
"Group","グループ"
"ZIP","郵便番号"
"Addresses","アドレス帳"
"FedEx","FeedEx"
"Packaging","包装"
"Dropoff","収荷場所"
"User","ユーザー"
"Indexer","インデックス処理"
"Extensions","エクステンション"
"OAuth","OAuth"
"Stocks","在庫ストック"
"Latitude","緯度"
"Longitude","経度"
"Postcode","郵便番号"
"Source","在庫ソース"
"Provider","プロバイダー"
"Comma-separated","カンマ区切り"
"notifyWhenChangesStop","notifyWhenChangesStop"
"Asset","アセット"
"Directory","ディレクトリ"
"Recipients","送信対象"
"Unsubscribe","購読解除"
"Unsubscribed","購読解除"
"Unconfirmed","未確認"
"Instructions","説明"
"Bottom","ボトム"
"Poster","ポスター"
"Stacked","スタック"
"Centered","センタリング"
"Contained","構成要素"
"Cover","カバー"
"Contain","構成要素"
"Video","動画"
"Continuous","連続"
"Banner","バナー"
"Button","ボタン"
"Buttons","ボタン"
"Column","カラム"
"Divider","分割"
"Heading","ヘディング"
"Map","マップ"
"Row","列"
"Slide","スライド"
"Slider","スライダー"
"Tab","タブ"
"Tabs","タブ"
"Appearance","Appearance(表示設定)"
"Secondary","セカンダリー"
"Alignment","Align（配置）"
"Border","Border（境界線）"
"Dotted","ドット"
"Dashed","ダッシュ"
"Solid","ソリッド"
"Double","ダブル"
"Groove","グルーヴ"
"Ridge","リッジ"
"Inset","インセット"
"Outset","アウトセット"
"px","px"
"Background","背景"
"Scroll","スクロール"
"Coordinates","コーディネート"
"Autoplay","オートプレイ"
"ms","ms"
"Fade","フェード"
"Display","表示"
"Ratio","比率"
"Shape","シェイプ"
"Features","特徴"
"Partner","パートナー"
"Vendor","ベンダー"
"reCAPTCHA","reCAPTCHA"
"Normal","通常"
"Compact","コンパクト"
"Refunds","返金"
"RSS","RSSフィード"
"Promotion","プロモーション"
"Coupon","クーポン"
"Operations","オペレーター"
"Create","作成"
"Shipment","発送情報"
"Hits","ヒット"
"Synonyms","同義語"
"Securitytxt","セキュリティテキスト"
"Encryption","暗号化"
"Acknowledgements","謝辞"
"Preferred-Languages","優先する言語"
"Hiring","採用情報"
"Policy","ポリシー"
"Signature","シグネチャー"
"Origin","発送元"
"Layouts","レイアウト"
"Swatches","Swatches"
"Taxes","税金"
"1 column","1カラム"
"Copyright","コピーライト"
"Menu","メニュー"
"Account","アカウント"
"3 columns","3カラム"
"Translations","翻訳"
"Google","Google"
"Authy","Authy"
"UPS","UPS"
"Failures","失敗"
"USPS","USPS"
"Machinable","マシンナブル"
"Name","名前"
"New","新規"
"close","閉じる"
"ID","ID"
"All","全て"
"Any","すべて"
"password","パスワード"
"failed","失敗"
"from","開始8"
"to","終了"
"message","メッセージ"
"Edit ","編集"
"%1 Items","%1 商品"
"title","タイトル"
"save","保存"
"Label","ラベル"
"sample","サンプル"
"download","ダウンロード"
"status","ステータス"
"OK","OK"
"item","商品"
"items","アイテム"
"Inline","インライン"
"Url","URL"
"Important:","重要:"
"Link","リンク"
"hold","保留中に変更"
"unhold","保留中を解除"
"Order # ","オーダーNo."
"product","商品"
"testMessage","テストメッセージ"
"thumbnail","Thumbnail"
"email","メールアドレス"
"username","ユーザー名"
"description","概要"
"Forums","フォーラム"
"Documentation","ドキュメント"
"By","より"
"edit","編集"
"NOTE","NOTE"
"Selected","選択済み"
"More","もっと見る"
"options","オプション"
"Payment","支払い "
"TinyMCE 5","TinyMCE 5"
"GraphQl","GraphQl"
"(minutes)","(分)"
"More Information","その他の情報"
"* Required Fields","* 必須入力"
"New Order","新しい注文"
"New Shipment","発送情報の新規登録"
"Phone Number","電話番号"
"New Rule","新しいルール"
"Code Format","コードフォーマット"
"Code Prefix","コードプレフィックス"
"Code Suffix","コードサフィックス"
"Rule Information","価格ルール内容"
"Rule Name","ルール名"
"API username","API Username"
"API password","API Password"
"Edit Rule","ルールの編集"
"Newsletter Subscription","メルマガ購読設定"
"is not","と等しくない"
"greater than","より大きい"
"less than","より小さい"
"Yes/No","Yes/No"
"Created at","作成日"
"Stores Configuration","ストア設定"
"Product Name","商品名"
"General Subscription","メルマガ購読を希望する"
"Order ID","注文 ID"
"Shipping & Handling","配送料（配送手数料含む）"
"Sales Tax","消費税"
"Read Details","詳細を読む"
"Messages Inbox","受信箱"
"Incoming Message","受信メッセージ"
"System Messages:","システムメッセージ："
"System messages","システムメッセージ"
"See All (","すべて見る("
"button_label","button_label"
"Connection Successful!","接続に成功!"
"Connection Failed!","接続に失敗しました!"
"Adobe Stock","Adobe Stock"
"Localized error","局所的なエラー"
"Subscription status","Subscriptionステータス"
"--Please Select--","--選択してください--"
"Retry Synchronization","同期の再試行"
"Advanced Reporting","アドバンスドレポート"
"View Details","詳細を表示"
", %1 successfully updated",", %1 は正常に更新されました"
"New Customers","当ショップを初めてご利用のお客様"
"Lifetime Sales","注文累計額"
"Average Order","注文平均額"
"All Files","全てのファイル"
"Save Account","アカウントの保存"
"My Account","マイアカウント"
"Account Information","アカウント情報の更新"
"User Name","ユーザ名"
"First Name","お名前(名)"
"Last Name","お名前(姓)"
"User Email","ユーザーメールアドレス"
"New Password","新パスワード"
"Password Confirmation","確認用パスワード"
"Interface Locale","インターフェイスロケール"
"Your Password","あなたのパスワード"
"Catalog Rewrites","カタログデータの再生成"
"Images Cache","画像のキャッシュ"
"Search Index","検索インデックス"
"Cache Control","キャッシュコントロール"
"All Cache","全てのキャッシュ"
"No change","変更なし"
"General Settings","全般設定"
"Custom Design","カスタムデザイン"
"Date From","開始日"
"Date To","終了日"
"Design Change","デザイン変更"
"Block Information","Block要素情報"
"Backup Options","バックアップオプション"
"Delete Store","ストアを削除"
"Save Store","ストアを保存"
"Edit Store","ストアを編集"
"New Store","新しいストア"
"Store Information","ストア情報"
"Web Site","Web Site"
"Root Category","ルートカテゴリ"
"Sort Order","表示順"
"Default Store","デフォルトのストア"
"Create Website","Websiteを作成"
"Create Store","ストアを作成"
"Reset Filter","リセット"
"All Countries","全ての国"
"Date selector","日付選択"
"Select All","全て選択"
"Add New","新規作成"
"Cache Management","キャッシュデータ管理"
"invalid request","無効なリクエスト"
"Service unavailable: %1","サービス無効: %1"
"Access Denied.","アクセス拒否"
"Store Design","ストアデザイン"
"Manage Stores","ストア管理"
"Store View","Store View"
"All Stores","すべてのストア"
"Last 24 Hours","直近24時間"
"Last 7 Days","直近7日"
"Current Month","今月"
"Next steps","次のステップ"
"Return to "," に戻る"
"previous page","前のページ"
"Sign in","ログイン"
"Select Range:","範囲を選択してください："
"Last Orders","最新の注文"
"All Websites","すべてのWebsite"
"Reload Data","データ再読込"
"Browse Files...","ファイルを選択...."
"Account Setting","アカウント設定"
"Customer View","カスタマー情報"
"Sign Out","ログアウト"
"Go Today","本日"
"Privacy Policy","プライバシーポリシー"
"JavaScript/CSS","JavaScript/CSS"
"Big Image","拡大画像"
"Additional Settings","追加設定"
"records found","件みつかりました。"
"per page","件"
"Next page","次のページ"
"Export to:","エクスポート先:"
"Mass Actions","マスアクション"
"Unselect All","全て未選択にする"
"Select Visible","表示中を選択"
"Unselect Visible","表示を解除する"
"System Backup","システムバックアップ"
"Database Backup","データベースバックアップ"
"Backup Name","バックアップ名"
"Maintenance mode","メンテナンスモード"
"User Password","パスワード"
"FTP credentials","FTP証明書"
"FTP Host","FTPホスト"
"FTP Login","FTPログインID"
"FTP Password","FTPパスワード"
"Create Backup","バックアップ作成"
"Percent Discount","割引率"
"Bundle Items","セット商品"
"Delete Option","オプションの削除"
"Price Range","価格範囲"
"N/A","該当無し"
"Add Option","オプションを追加"
"New Option","新オプション"
"Option Title","オプションのタイトル"
"Default Title","デフォルトタイトル"
"Input Type","入力形式"
"Radio Buttons","ラジオボタン"
"Multiple Select","マルチセレクト"
"Is Default","Is Default"
"Default Quantity","デフォルト数量"
"User Defined","ユーザー定義"
"Price Type","価格タイプ"
"Regular Price","通常価格"
"Your Customization","あなたのカスタマイズ"
"In stock","在庫あり"
"Gift Message","ギフトメッセージ"
"Discount Amount","割引価格"
"Row Total","行合計"
"Qty Invoiced","対象個数"
"Qty Shipped","配送数"
"Incorrect CAPTCHA","CAPTCHAの確認入力が正しくありません"
"Incorrect CAPTCHA.","CAPTCHAの確認入力が正しくありません"
"Reload captcha","CAPTCHA画像の再読込"
"Attribute label: ","属性値ラベル: "
"ALL GROUPS","全てのグループ"
"Customer Group","カスタマーグループ"
"Minimum Qty","最小個数"
"No Backorders","バックオーダーなし"
"Stock Status","在庫ストック状況"
"Advanced Inventory","アドバンスド在庫設定"
"Only %1 left","残りあと%1個です"
"Product availability","商品在庫あり"
"Delete Rule","ルールの削除"
"Apply Rules","ルールの反映"
"Attribute Set","属性データセット"
"Unknown action.","不明なアクション。"
"Rule price","値引き"
"To Percentage","割合"
"By Percentage","固定率"
"Update product's %1 %2: %3","商品の %1 %2: %3 更新"
"Conditions Combination","条件の組み合わせ"
"Product Attribute","商品属性データ"
"Search Weight","検索ウエイト"
"%1 and greater","%1 以上"
"up to %1","最大で %1"
"%1 and above","%1 以上"
"Disable Notice","通知を無効にする"
"Test Exception","テストException"
"Search Settings","検索条件"
"Advanced Search","アドバンスド検索"
"Add Subcategory","サブカテゴリを追加"
"[STORE VIEW]","[STORE VIEW]"
"WYSIWYG Editor","WYSIWYGエディタ"
"Add Product","商品データの新規追加"
"Product Attributes","商品属性データ項目"
"Save Attribute","属性保存"
"Delete Attribute","属性を削除"
"Attribute Code","属性コード"
"Default Value","デフォルトの値"
"Unique Value","一意な値"
"Storefront Properties","ストアフロントプロパティ"
"Media Image","メディアイメージ"
"System Properties","システムプロパティ"
"Globally Editable","全体で編集可能"
"Attribute Information","属性情報"
"Manage Labels","ラベル管理"
"Add Attribute","属性要素の追加"
"Add Group","グループの追加"
"Based On","基準にするフォーム"
"Attribute Sets","属性セット"
"Close Window","ウインドウを閉じる"
"New Product","新規商品"
"Save & Edit","保存 & 編集"
"Save & New","保存 & 新規作成"
"Save & Duplicate","保存 & 複製"
"Save & Close","保存と終了"
"Products Information","商品情報"
"Create Category","カテゴリ作成"
"Category Name","カテゴリ名"
"Parent Category","親カテゴリ"
"Subscribe Date","登録日"
"Last Notified","最終通知日"
"Send Count","カウント送信"
"New Attribute","新規属性"
"Import Options","オプションのインポート"
"Use Default","デフォルトを使用"
"Delete Row","行の削除"
"Tier Pricing","価格層"
"Default Price","デフォルトの価格"
"Add Price","価格追加"
"Default Values","デフォルトの値"
"Related Products","関連商品"
"Size for %1","%1 のサイズ"
"Name in %1","%1内での名前"
"Change Status","ステータス変更"
"Update Attributes","属性を更新"
"New Category","新規カテゴリ"
"Inc. Tax","税込"
"New Products","新しい商品"
